,,,,,,,,,,,,,,
Area,mnemonic,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ladu:Craven,E07000163,24205,22138,22113,21845,22527,23359,24158,22774,24326,25264,26071,27830,#
ladu:Hambleton,E07000164,22844,23659,23425,23689,25348,22677,23748,23945,24466,23960,25389,25657,26266
ladu:Harrogate,E07000165,22160,24503,24029,23501,22180,24674,24597,23861,25426,25744,26896,30039,28958
ladu:Richmondshire,E07000166,#,21478,19206,19655,24303,25611,25459,22844,26363,26880,27109,28358,25548
ladu:Ryedale,E07000167,20311,20277,20277,21040,19599,21176,21475,23043,23103,24240,24037,24731,24887
ladu:Scarborough,E07000168,21006,22795,23221,23068,22541,21822,23864,25754,24526,24802,24004,25916,26060
ladu:Selby,E07000169,27492,27998,#,27446,26771,26977,28000,27984,28027,28085,30305,30514,29273
ladu:Barnsley,E08000016,21174,23146,23510,23465,23431,23556,23274,#,25235,24899,25298,27734,27048
ladu:Doncaster,E08000017,23664,22669,23760,24248,24692,24088,24785,23352,24674,25066,26731,26576,27670
ladu:Rotherham,E08000018,22227,23717,24001,23783,23068,23774,24218,25585,25230,25554,25524,26301,27903
ladu:Sheffield,E08000019,23712,24143,23872,24186,24987,25688,25468,26147,26804,27185,27721,28312,29016
ladu:Bradford,E08000032,22283,23145,22798,22241,22813,23897,23530,23952,25262,25702,25915,26442,27947
ladu:Calderdale,E08000033,23145,24427,23511,24760,23211,23708,24905,24733,26284,26869,27695,27230,27571
ladu:Kirklees,E08000034,21308,21764,23150,22626,23254,23318,23353,22950,24619,24790,26040,26526,27597
ladu:Leeds,E08000035,24159,25741,25253,25222,25337,26496,26381,27089,28165,28317,28045,29337,30382
ladu:Wakefield,E08000036,24969,23954,23546,24124,25091,24518,24480,24279,24701,25056,27096,27694,28008
ladu:Derby,E06000015,28443,31870,32311,31417,32918,33502,34526,33910,32177,32347,36173,39141,40722
ladu:Leicester,E06000016,23341,23968,24995,24286,24594,25323,25399,24767,25368,25188,25223,25937,28555
ladu:Nottingham,E06000018,23013,25076,24501,24690,25184,25217,24978,25975,26086,26099,26298,28508,28372
ladu:Rutland,E06000017,22577,25832,23741,22450,22108,22569,23403,#,25013,25732,26377,30240,30313
ladu:Amber Valley,E07000032,25408,24836,23406,24058,26552,25000,25001,26384,27725,29680,28973,29430,28285
ladu:Bolsover,E07000033,22609,22109,21586,21553,23194,22786,23456,22668,22714,22381,23783,23982,27577
ladu:Chesterfield,E07000034,21502,24101,25790,27396,25863,24502,25149,25245,25220,25089,26073,26966,27287
ladu:Derbyshire Dales,E07000035,23602,22517,23918,23873,24615,#,25509,24699,26135,26738,27130,27749,26008
ladu:Erewash,E07000036,20857,21507,21478,20349,23054,24498,23407,23050,26166,26347,26275,25874,27326
ladu:High Peak,E07000037,22953,25448,25463,23118,23746,24975,21457,23147,23902,24740,23843,25609,26897
ladu:North East Derbyshire,E07000038,25005,24239,23449,#,22767,22904,21751,20718,22268,23951,28099,25811,26637
ladu:South Derbyshire,E07000039,26649,24824,21453,24365,23983,24909,26170,26140,24322,26190,28726,29886,29497
ladu:Blaby,E07000129,25588,27160,26609,26633,24548,23529,25286,25243,25804,26640,27861,27067,31045
ladu:Charnwood,E07000130,25337,26429,26048,26336,25905,26398,26710,26077,27952,27395,29156,28888,29300
ladu:Harborough,E07000131,24223,25598,25824,24513,23677,25253,26741,#,26665,26912,26640,26840,#
ladu:Hinckley and Bosworth,E07000132,24057,23947,24124,23400,25390,26560,26038,24985,24374,25842,27891,28074,29063
ladu:Melton,E07000133,23123,21636,21740,21892,23097,22547,#,23057,24522,25236,24546,25593,24205
ladu:North West Leicestershire,E07000134,#,23967,23555,24576,25366,25148,24189,24420,25991,25745,26617,28876,28971
ladu:Oadby and Wigston,E07000135,20120,20724,20637,19929,21356,21693,21889,22254,22991,23874,24805,24127,24751
ladu:Boston,E07000136,19799,21036,20671,21376,21430,21468,21538,20770,#,20577,22391,24323,24582
ladu:East Lindsey,E07000137,19672,21419,20513,20532,21216,23102,23603,#,25036,24782,25465,25885,26531
ladu:Lincoln,E07000138,21280,23229,23809,23939,24177,24292,25477,23572,25063,25905,27161,26246,28798
ladu:North Kesteven,E07000139,19545,20005,21852,20109,21427,21849,23464,22774,23229,24544,25718,26865,29104
ladu:South Holland,E07000140,21755,21331,23322,21963,21901,22837,22025,22319,23007,23963,23545,25094,26443
ladu:South Kesteven,E07000141,21003,23339,22727,22137,22116,23260,21257,22634,22204,22251,23292,25107,27352
ladu:West Lindsey,E07000142,20427,21554,23302,22595,#,23704,22989,23192,#,27526,27470,#,29295
ladu:Ashfield,E07000170,21637,22677,23836,22039,22418,21858,22754,22338,24748,24807,#,25184,27374
ladu:Bassetlaw,E07000171,20810,23051,21813,22231,23343,23804,23239,22029,23286,24015,24572,24922,26458
ladu:Broxtowe,E07000172,24497,24199,22808,23143,22698,24076,25284,#,27181,26883,25710,#,24808
ladu:Gedling,E07000173,24595,25950,23774,19794,27070,29577,29868,23253,24479,30511,33065,28935,29272
ladu:Mansfield,E07000174,21610,21677,20916,20493,19682,20461,20781,20396,20529,21047,22918,23318,24887
ladu:Newark and Sherwood,E07000175,21919,21520,20437,21452,22038,23105,23102,#,23643,23340,23169,23096,25607
ladu:Rushcliffe,E07000176,25669,25649,27619,25698,24639,27053,28763,27441,27538,26652,29997,30619,30153
ladu:North Northamptonshire,E06000061,-,-,-,-,-,-,-,-,-,-,-,-,-
ladu:West Northamptonshire,E06000062,-,-,-,-,-,-,-,-,-,-,-,-,-
"ladu:Herefordshire, County of",E06000019,21190,19930,19915,19578,20054,20791,20831,21022,22873,22985,23958,25308,27085
ladu:Shropshire,E06000051,20759,20452,22151,22344,22124,23692,23220,23951,24829,24634,26516,27261,28424
ladu:Stoke-on-Trent,E06000021,22297,22164,23121,22685,22984,23692,23011,23781,24482,24457,26177,26596,28147
ladu:Telford and Wrekin,E06000020,23849,22713,22429,22476,24210,24853,24526,26743,26071,25522,26667,28772,30244
ladu:Cannock Chase,E07000192,23642,21914,22491,22037,22273,24643,23296,23885,23953,25360,26002,25409,26766
ladu:East Staffordshire,E07000193,23236,22446,22679,24598,24843,26975,25785,26533,28356,26410,27467,28375,28804
ladu:Lichfield,E07000194,23067,24491,25290,24909,22592,25431,#,26085,26971,26582,26133,27851,26956
ladu:Newcastle-under-Lyme,E07000195,21574,20901,20424,20516,21258,23261,22878,20970,22312,23725,24428,24271,25697
ladu:South Staffordshire,E07000196,23819,24041,23819,22389,#,25060,24071,#,25396,27392,#,27412,29834
ladu:Stafford,E07000197,22995,25360,24845,25562,24925,27255,26638,25317,27775,26529,27108,28575,30050
ladu:Staffordshire Moorlands,E07000198,23153,22408,22444,22530,26047,25772,27124,21154,#,26049,25323,29211,#
ladu:Tamworth,E07000199,22813,21512,21533,21853,22464,22096,23038,22845,24077,24614,24632,24066,24855
ladu:North Warwickshire,E07000218,21761,23579,23823,26762,25275,24106,22119,22134,26751,27032,26949,29031,29235
ladu:Nuneaton and Bedworth,E07000219,21601,23303,23306,22048,22613,23393,23548,22800,#,23735,#,25521,25037
ladu:Rugby,E07000220,26616,26464,27020,27111,27457,28231,30678,30508,30233,31161,31037,32093,34280
ladu:Stratford-on-Avon,E07000221,26110,25160,26071,25476,26968,27978,#,27699,30188,31813,30604,27971,30798
ladu:Warwick,E07000222,26334,27263,26030,26920,26992,28600,28214,29094,29414,30740,31170,34222,33826
ladu:Birmingham,E08000025,24906,25500,25917,26311,26250,27244,26168,28000,28165,28848,30151,30733,33179
ladu:Coventry,E08000026,26079,25285,25187,26559,26890,29475,27377,27767,28716,29720,30945,29937,32495
ladu:Dudley,E08000027,21504,21352,21133,22298,22236,21386,22482,24335,25198,25490,26324,26762,28909
ladu:Sandwell,E08000028,23457,22519,22335,22808,23508,23989,23373,24192,23703,25022,25541,26119,27828
ladu:Solihull,E08000029,29481,29312,28525,27772,28839,29829,30034,31335,32415,33600,35454,32835,30863
ladu:Walsall,E08000030,21123,21221,22514,23274,23254,23408,25020,25594,25767,24560,25010,27493,28571
ladu:Wolverhampton,E08000031,23854,24112,24073,23703,25000,24803,23434,24336,24967,25215,26460,28445,28315
ladu:Bromsgrove,E07000234,21708,22115,21874,20677,22349,22111,22473,23238,24067,#,#,28653,28632
ladu:Malvern Hills,E07000235,26873,26240,21992,22871,22871,25986,24259,23234,22957,23585,23229,25769,22812
ladu:Redditch,E07000236,21097,24963,23673,22529,22065,23475,24388,23209,#,24315,24254,25472,26734
ladu:Worcester,E07000237,22059,23239,24530,23671,25152,24595,24978,25560,26288,27564,#,29495,27801
ladu:Wychavon,E07000238,20325,22497,22848,23634,23665,24120,24384,25483,26210,27355,27612,28034,28161
ladu:Wyre Forest,E07000239,22464,19744,19763,18662,18512,18898,20610,22177,22043,22990,21762,25852,26535
ladu:Bedford,E06000055,23602,23663,24000,25884,24587,25314,25201,26819,27832,28332,28472,31255,32013
